,Transaction_date,Transaction_ID,Gender,Age,Marital_status,State_names,Segment,Employees_status,Payment_method,Referal,Amount_spent
0,2019-01-01,151200,Female,19,Single,Kansas,Basic,Unemployment,Other,1,2051.36
1,2019-01-01,151201,Male,49,Single,Illinois,Basic,self-employed,Card,0,544.04
2,2019-01-01,151202,Male,63,Married,New Mexico,Basic,workers,PayPal,1,1572.6
3,2019-01-01,151203,Male,18,Single,Virginia,Platinum,workers,Card,1,1199.79
4,2019-01-03,151205,Male,71,Single,Hawaii,Basic,Employees,PayPal,1,2922.66
5,2019-01-03,151206,Female,34,Married,New Mexico,Platinum,Employees,PayPal,1,1481.42
6,2019-01-03,151207,Male,37,Married,Connecticut,Basic,workers,PayPal,1,1149.55
7,2019-01-04,151208,Male,75,Married,Florida,Silver,Employees,Card,0,1046.2
8,2019-01-04,151209,Female,41,Married,Vermont,Gold,Unemployment,Card,1,2730.6
9,2019-01-04,151210,Female,56,Married,California,Basic,Employees,PayPal,0,1712.82
10,2019-01-05,151211,Female,63,Married,Colorado,Basic,workers,Other,1,154.31
11,2019-01-05,151212,Female,60,Married,Iowa,Basic,self-employed,Card,1,819.08
12,2019-01-05,151213,Male,47,Single,South Carolina,Basic,Employees,PayPal,1,1719.83
13,2019-01-05,151214,Male,24,Married,Colorado,Platinum,self-employed,Other,1,954.12
14,2019-01-06,151215,Male,16,Single,New York,Platinum,workers,Other,1,1005.92
15,2019-01-06,151216,Female,72,Married,Maine,Silver,self-employed,PayPal,1,2882.77
16,2019-01-07,151217,Female,77,Married,New Mexico,Platinum,workers,Card,0,2999.98
17,2019-01-07,151218,Male,42,Married,Maryland,Basic,self-employed,Other,0,1902.73
18,2019-01-08,151219,Female,46,Married,Missouri,Basic,Employees,Card,1,2968.95
19,2019-01-08,151221,Male,42,Married,North Dakota,Silver,workers,PayPal,0,995.77
20,2019-01-08,151222,Female,50,Married,Ohio,Missing,workers,Card,0,719.13
21,2019-01-09,151223,Male,47,Single,Nebraska,Basic,self-employed,PayPal,1,2407.36
22,2019-01-10,151224,Female,32,Single,Montana,Basic,Employees,PayPal,0,2737.41
23,2019-01-11,151225,Male,25,Married,Indiana,Basic,self-employed,Other,1,1514.75
24,2019-01-12,151226,Male,33,Married,Wisconsin,Basic,self-employed,Card,1,293.58
25,2019-01-12,151227,Male,61,Married,Alabama,Platinum,workers,Card,1,1094.67
26,2019-01-12,151228,Male,75,Married,Alabama,Basic,self-employed,PayPal,1,233.05
27,2019-01-13,151231,Female,21,Single,Montana,Basic,Employees,Card,0,2035.07
28,2019-01-13,151232,Male,39,Single,Arkansas,Basic,Employees,Other,0,128.29
29,2019-01-14,151233,Male,15,Married,Missouri,Gold,self-employed,Card,1,628.93
30,2019-01-14,151234,Female,59,Married,Pennsylvania,Basic,Employees,Card,0,1729.36
31,2019-01-14,151235,Male,70,Married,New Hampshire,Silver,workers,Other,1,2040.29
32,2019-01-14,151236,Male,75,Married,Washington,Platinum,Employees,PayPal,1,2744.88
33,2019-01-16,151237,Male,64,Married,Texas,Missing,Employees,PayPal,1,351.88
34,2019-01-16,151238,Female,64,Married,Ohio,Silver,Unemployment,Other,0,692.14
35,2019-01-17,151239,Male,64,Married,New York,Silver,Unemployment,PayPal,1,2418.62
36,2019-01-17,151240,Female,21,Married,Kentucky,Basic,workers,Card,0,2734.15
37,2019-01-17,151241,Female,46,Married,New Mexico,Silver,workers,PayPal,1,2851.83
